step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0,0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0,0
1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0,0
1,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0,0,0
1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.0,0.0,0,0
1,PAYMENT,4024.36,C1265012928,2671.0,0.0,M1176932104,0.0,0.0,0,0
1,DEBIT,5337.77,C712410124,41720.0,36382.23,C195600860,41898.0,40348.79,0,0
1,DEBIT,9644.94,C1900366749,4465.0,0.0,C997608398,10845.0,157982.12,0,0
19,PAYMENT,13128.72,C914974308,154489.8,141361.09,M1979236780,0.0,0.0,0,0
19,CASH_IN,51970.99,C1917063183,141361.09,193332.08,C1799770328,398243.16,346272.17,0,0
19,CASH_IN,172263.26,C1029318186,193332.08,365595.33,C1497518378,4320305.52,4148042.26,0,0
19,CASH_IN,29462.98,C1075699107,365595.33,395058.31,C857466808,683578.81,654115.83,0,0
19,CASH_IN,44248.81,C1943769517,395058.31,439307.12,C2057737889,236618.41,192369.6,0,0
19,CASH_IN,171998.68,C558703537,439307.12,611305.8,C451976028,697408.33,781586.43,0,0
19,CASH_IN,146163.05,C1305094852,611305.8,757468.85,C33558375,563939.17,400836.09,0,0
19,CASH_IN,186713.48,C1662260763,757468.85,944182.33,C901966752,204850.53,18137.05,0,0
19,CASH_IN,318525.32,C1282258221,944182.33,1262707.66,C124431540,840694.45,522169.13,0,0
19,CASH_IN,273119.63,C83183546,1262707.66,1535827.28,C948520619,300343.53,27223.91,0,0
19,CASH_IN,139304.6,C410370538,1535827.28,1675131.88,C889274961,1646135.97,1506831.38,0,0
19,CASH_IN,303505.61,C1527953457,1675131.88,1978637.49,C1470341562,2867677.9,2592792.13,0,0
19,CASH_IN,44297.74,C2063051427,1978637.49,2022935.23,C1520693345,2414582.13,2370284.39,0,0
19,CASH_IN,357445.9,C1410464464,2022935.23,2380381.13,C1864038595,420291.68,62845.78,0,0
19,CASH_IN,122400.68,C1650268969,2380381.13,2502781.81,C1865974996,2928599.12,2806198.44,0,0
